summary,comment
negative,"once again flying AA4285, once again 60+ min delay because of mechanical issues. Perhaps you should consider maintenance?"
negative,"no repair made to the water line. No potable water on board this flight. ""We will take off soon."" Time for new planes MCIDFW."
positive,"thanks for the recommendation. We've been sitting here for 45 minutes, last update was 35 min ago."
neutral,does it show that we are on the same plane?
neutral,"depends on the terminal, what' the best option? Arrive C, depart A. Breakfast burrito is what I'm craving.. Any update on 1119?"
negative,an overzealous stewardess prevented us from bringing in a car seat! worstflight!
negative,watch out if you are a parent...they break stroller  tell you look at the fine print
neutral,my flight number is 3M 50
negative,your staff at rsw working the sliver airlines desk is not helpful. We can not get any information about our flight.
negative,when the pilot announces that the plane has been unused for 2 days and maintenance is dealing with another aircraft..
neutral,I know this is probably a no but is there a way to get a cheaper airfare ticket if the flight is leaving in a few hours? 
positive,thank you for replying. Trying to figure out how to get from there from DFW
negative,don't merge with an airline that ain't ready for prime time and book your elite flyers on it! NotHappy NeedCoffee
neutral,"Yes, obviously! It just stinks that 4pm is the one option when she was supposed to fly at 7AM YESTERDAY."
negative,how do you NOT do maintenance on MD80 while it sits for two days? Frozen lines found after its boarded? Come on! faail mci
positive,why thank you!! Yayayay!!
negative,That what I hoped - contacted them 3 wks ago about this but they have not responded and still issued in US funds. frustrated
neutral,we're all being told by emergency services to stay home for the next 24-48 hours.
positive,Thank you for being so responsive on . Truly impressive.
neutral,flight BA1551 departing tomorrow (wednesday) - not Cancelled Flightled but how can anyone make it to the airport in this weather?
neutral,She's on Manch to Charlotte Fl 4628 Told her she could get on a 4pm flight to West Palm Beach. Nothing earlier?
negative,Boo! Wack ass terminal 6 flyLAXairport. No food. No lounge. No Bueno!! Never again!!!
neutral,it's flight 5348
neutral,Good morning!  Wondering why my pre-TSA check was not on my boarding pass this morning??
neutral,Yes I do bit you don't follow me so I can't DM you
negative,as your flight attendants are an extension of your brand - bitchy flight attendants on 5:30 am flights are not appreciated.
negative,"again, no special meal catered for me in F JFK-LAX. thankfully i'm on qantas the rest of way-i fear what youd NOT cater on that"
negative,140 characters aren't enough to describe how inconsiderate your employees are
neutral,"was hoping for 8A if possible, for some frozen views along the way!"
positive,...have you seen Blue? Go look it up :)
negative,your cabin 'thank you' message reminds people about having choices when they fly. I will be choosing another airline next time.
negative,"really? That's it? Not even a ""we are looking into this to see what happened/what we could do better next time"""
negative,She told us we had to drive back to drop it off so they could attempt to fix it. Really? Don't have time to do that. terrible
neutral,hi when will your next set of flights be out for next year from Dublin???
neutral,"Had my flight changed from  to you, now I can't get two seats together. Can you help?"
neutral,"oh I will, AA on speed dial"
neutral,"Thanks, chasefoster. Was just about to book a flight to UK using , but after reading this exchange, there's no way. I've sent"
neutral,Amazing to watch chasefoster (who travels with celebs all over the world) show the youth of America who *not* to fly with.
neutral,"travel week, delays, Cancelled Flightlations, ""if you want to learn more about the merger press 1"", delay my connector in Chicago deice"
negative,Requiring customers to fill out all the contact information each time seems designed to prevent or limit interaction.
negative,Horrible service loganairports. Luggage got destroyed on flight and woman at baggage service was so rude. Didn't help at all.
positive,thanks! Flight 2160 today. Great crew!
neutral,Thank you for contacting American. The email address you have written to is an unmonitored account
negative,Your customer relations dept has one-way e-mail. How is not allowing responses helpful?
negative,"If you are sorry, answer my claims (AA Ref1-2990176298, 1-3001885409 and : 1-3001885409) accordingly, without using ""weather"""
neutral,"the motor that usually starts the engine is broke and CVGairport ground crew failed to do it on time, per pilot maintenance"
positive,is rising like the sun at DCA this morning.  NATCA members have the best view
negative,she has  the guy u served drinks 2  til he needed awheelchair to get off the plane is a more important then the assaulted women
negative,there's a lot of talks and no doing. MIA-SFO on a 20+ year old plane nonewplanes old shame
neutral,"and CVGairport get it together, perfect combination for delays and Cancelled Flightlations"
negative,I'm flying into DCA my bag is at IAD.  I am already Late Flight for my meetings at work.  I will call the number when I land 
negative,face palm!!! Cannot believe the last 24 hrs 1.5 hrs of sleep and No and no and what you can't do......
negative,just wow Regina just told me I can't file or request a lost bag statement until I finish my travel.  So until I get to DC argg
negative,"I shared my experience several times (AA Ref1-2990176298), but AA's response is senseless, weather was not the cause!!!"
negative,"You should be apologizing for your rude sales reps and failure to offer anything other than trite, condescending platitudes...."
negative,"Delta Maybe? Long trip, Late Flight night  queues at baggage claims in two terminals, no good. I thought I paid for it 50$ instead."
negative,you really need some customer service training for your unhappy EEs in the morning in Chicago. Gate K20 at 430 chking her schd
negative,"I sat on the runway for 4 MORE HRS b4 takeoff (10 hrs Late Flight, 4:30 AM). Pilot plainly stated it was a comp/mech issue."
neutral,Flight 1679 (N76200) prepares for flight at FlyTPA before departing
negative,"Alright prove it: (1/3) 3 days ago, I sat on a plane at JFK for 3 hrs, deplaned for 3 more, and when I re-boarded..."
negative,I'm trying to choose my seats but every time I go to the next flight I get system error
negative,"I've been trying to change a Thursday flight and there's a ridiculous wait time on the phone, and your website isn't helping"
negative,We all did! Skipper's walk-around too :(
positive,Such a suprise! New vanity kit set for frequent travellers 
negative,gah this is so frustrating! Nobody has my address here in the USA. Where are my bags!?!? So disorganised!!!
positive,lovely flight back from MIA to LHR - great crew - thanks :-))
negative,"TY! But, their site says "" Please note that we do not offer a print subscription service for American Way. ..."""
negative,its not weather thats why i said the other people received hotel rooms while the people at the end of the line did not get them
neutral,just hoping/praying for a safe flight. They've had to stop and de-ice our plane yet again
neutral,will do. I also passed the website around to other passengers.
neutral,and btwn gate a8 a15 I lost a diamond earring dayjustgotWORSE! Pls have maintenance look for it!!
neutral,"we then had to deplane, and change planes."
positive,but your flight crews  ground crews have handled situation well. Texting notification let me catch a few winks during delay.
positive,Thx! I hope so. IAH to DFW to OKC has turned out to be a LONG trip today and I have to work tomorrow.
positive,"just curious. Thanks for the response as always, good or bad. Better than your competition."
negative,your customer service is deplorable. I am disgusted in your company and the ignorant people on the phones for lost baggage.
negative,were stuck on a plane in Dallas that's supposed to be going to Okc. There's an issue w/ the plane. Any idea on how much longer?
negative,they responded. I can't respond to their response. Nor can I speak with someone. worstcustomerserviceever
positive,thanks  you always be my airline of choice when possible
negative,gate agents disappeared and customer service agents were miserable and unhelpful. letdown neveragain
negative,Who do I report missing baggage to when baggage claim leaves before midnight?
negative,how about connecting me with a customer service rep? I'd rather speak to a person than a computer. Thanks!
negative,"arrived +-10pm eastern. Had to deplane on the CRJs airstairs to an icy Tarmac. Valet bags sent to carousel, so it was 10:20pm."
positive,"attended to and corrected my complaints via . Whoa. This is the brave, new world we live in. Thank you, American Air :)"
negative,"couldn't get anyone on the phone all day, the flight you rebooked had me missing a conference.We won't be on flt 1568 tomorrow."
negative,BS that Noise Late Flight NoRahm
negative,It's sad how I can't afford any long distance trips though. :/
positive,btw you guys should consider making a lounge at Austin Intl. airport! Very popuLate Flightd area! Will help the company for sure
negative,"djevolutionhd As an EP who travels 125K+ miles a yr with , I would expect more from them than this horrible travel experience"
neutral,Are you expecting any delays out of DFW tomorrow morning?
negative,that was the worst customer service experience ever. Too bad for you I'm a lawyer. Enjoy my wrath.
negative,it's beyond complicated now and it feels like when I used to fly with United. Platinum means nothing.
negative,I look forward to hearing back and hope that my next trip will not be like this
neutral,Oh trust me. I am in love. It is so beautiful!
positive,"BoeingAirplanes I really would love to experience first class on that plane,looks stunning!"
positive,"I love the service and cheap upgrades American Provides! One of the best airlines ever! good food, good seats, amazing thanks!"
negative,no not yet. Waiting now to be connected to an agent
negative,when should i expect a response from customer relations
negative,you have Cancelled Flightled my flights because of my last name. Do the right thing and reinstate my tickets
negative,flight veers off icy runway at dfwairport. Most DFW flights Cancelled figures right?
negative,"you know I love this airline, but why are my friends MEGENTRIPODI jordnnicole7 having such a problem retaining info they need"
positive,Not surprised that you were the Fastest Responding US Brand on  for Q2 + Q3 2014. Also 10th fastest in the world in Q3
negative,you've got to be kidding. Look at the pictures.  I'm hoping it's on the flight that just came in. The whole story is 2 much
negative,"You're clueless. A kind rez agnt contacted USAir 4me around midnite, told them what to do. If not that I'd have missed funeral."
negative,"Nice try I heard your crew whisper ""she's still at the hotel, she probably doesn't think she has to work until tomorrow"""
neutral,do you have hand sanitizer in the bathrooms on your flights?
negative,I'm at the airport right now and your people didn't know how to react and help me with this situation. Very frustrated.
negative,"So break whatever you want, take no responsibility..Too bad for customer? media filmcrew chicagotribune WSJ nytimes CNN"
negative,"flight veers off icy runway at dfwairport. Most DFW flights Cancelled Flighted Monday, Flightaware says."
positive,Joanne from your San Diego staff was phenomenal! Give that girl a raise. She handled our flightnightmare better than anyone.
negative,you are beyond redemption. Jfk. Baggage claim looks like a luggage warehouse
neutral,what about flight 1239?
negative,Late Flight again geez flt2417 Late Flight delays typical
neutral,do you guys have wifi on international flights?
negative,"to add insult to injury, I have to go pick it up myself. Real class act! I'll stick the Delta from now on."
negative,absolutely disappointed in your lack of service. Lost my bag and can't even deliver it after I was told it would happen.
positive,Just followed you.
negative,what can AA do for a load of people about to board their 5th plane of a very long day when the first 4 were unserviceable
neutral,the Late Flightst usair4603. Earlier 4591
neutral,any delays on tonight's flight from DFW to SAT? I have family members on board.
neutral,Can I use an SWU on an Finnair codeshare of an American operated flight (JFK-MAN)?  Thanks in advance for the help!
negative,We tried with multiple people. I already sat on the phone for an hour and a half and got nowhere.
negative,which one.?i have been booked on 6 different ones in the past 2 days
negative,"Nope. Couldn't make changes online and after 90 mins on hold and time dealing w/ the rude rep, the 24 hour window has closed."
negative,"doesn't care about customers, break your gear and tell u they can't do anything. WSJ latimes chicagotribune media filmcrew"
neutral,yes....twice...for two different flights and occasions
neutral,Why is your cover photo of TWA? Just wondering.
negative,unable to access the website.  Will try again.
neutral,Hopefully it's all fixed. They've got a new aircraft for us- just waiting to board.
neutral,I need to Cancelled Flight a flight I booked earlier tonight. Are you able to do it over ?
negative,I loved todays fight. But there was a bad draft on the airplane please add more air to air thanksm
positive,I've just received the ticket. Thank you for your help
negative,This is getting out of hand. I called Reservations to reserve the seats that it won't let me select online and there's a fee...
negative,so disappointed with this airline never again will I book with you guys
neutral,any idea why flight 5392 from HSV to DFW tomorrow Cancelled Flightled about 45 minutes ago?
positive,"thanks.  I actually made it, my connection flight was delayed.  Guess all delays are not a bad thing."
neutral,is that the flight for tomorrow?
positive,"TheCandaceSmith Thanks for the shout-out, Candace! Enjoy the ride. Always! I adore American Airlines!"
negative,Without notifying though?
positive,"Still thinking, those PJs may have me sold momsgoodeats We'd love to have you on board with us! MandarinJourney here I come"
neutral,Do you have any flights with lie flat seating from STL to PDX around the date of March 5?
neutral,are flights from Pensacola fl delayed flight 3670
neutral,the status on my itinerary says on request in red. What's that mean?
negative,have such a bad rep for loosing costumers luggage. I stopped flying them a while back.
neutral,jokerunning this happened to me too!!!
negative,why did you drop my call. Why don't you have more people answering phones? Why is it always high call volume when I call
negative,I can't work with them if the call gets cut off while I'm still holding..... Is DFW looking any better tomorrow?
negative,u didn't give an answer why the flight delayed so long. and how do u compensate missing my other flights Lima to Cuzco??
neutral,can you help me update a birthday that was incorrectly input in a reservation? This is preventing me from checking in
negative,I need assistance reFlight Booking Problems a flight from dfw to lit
negative,"Just took off. Sitting with someone who is scheduled on Buenos ares out of JFK,not sre if he will make it. R thy holding plane?"
neutral,"the dinner and called me ""hon"". Not the service I would expect from 1st class.  disappointed"
neutral,"upgraded to 1st class. Inquired about red wine.  ""Sauvignon blanc  I can't pronounce the other one.""  Couldn't describe..."
negative,"No. I watched these bags be abandoned at depart gate. Watched for 40 mins until owner returned, 20+ mins after I reported"
positive,everything for sorted out. Thanks for the help. Excited to get home tonight!
positive,keep up the good work.  Got me to my destination safe and on time today
positive,Lady at B1 ABQ for 5347 on 2/23 was of a great service to all among several Cancelled Flightlations
negative,any ways to get through the 50 minute wait to book a flight?
neutral,Can you provide guidance on how I should work with them to resolve the issue
negative,"Really?They closed the gate at 10:30 instead of40.I got there at 10:39. If u wudda put in my ktn like I asked, I wudda made it."
negative,"trying to change flight via DFW tomorrow, can't get thru on phone, long wait then cut off x2, can you help please?"
positive,thanks for following up- it finally worked!! Fingers crossed the new flight works.
negative,stuck on the tarmac in CLT because the our gate is not open. Hope I don't miss my connection
negative,"I waited on hold for two hours, only to have my call. Really unreliable."
negative,is the company from hell with NO consideration for customers that give it hundreds of millions of dollars per year SMH
neutral,No snow in St. Louis. Cold but no snow. Hub flights welcome.
negative,Took a flight yesterday fron TPA-DFW-AUS. Bag went to IAH. Today bag went to IAH-DFW and then back to IAH. Still no bag!
negative,it is absolutely unacceptable.  I have been calling all day and am hung up on every time. I just need a 5 minute bit of help!
negative,"It's not about weather, it's logistics. Why should I hold for 90 minutes when you called me? Why not get more desk agents?"
neutral,We've sent you more info via DM.  I truly hope you resolve this very quickly. media filmcrew cnn nbc
negative,"No Meelan did not afford a supervisor to be included in the conversation, pls check the rec of the call badcustomerservice"
negative,"I had it until last night, but because ""severe weather"" I could make the needed changes and now fair goes up 150 each."
positive,Thanks to AA for the upgrade today and getting me on a new flight after my first one was Cancelled Flightled!
negative,"has the worst flight change policy. No mercy, no sympathy, such a bummer when you can't go to funerals or see friends bc of it."
negative,what's done is done. Not much you can do at this point. Trip is already over.
neutral,"epicfail on connections in Chicago today, extremely disappointed w/ unaccommodating customer service, rethinking loyalty "
neutral,well I'm flying instead - for free! Their credits actually work.
negative,"already spoke to that line, unwilling to help - really poor support hitawall"
positive,first ride on new 737-800 with new interior and in seat video. Nice improvement!
neutral,"Yes, thanks I found those, didn't see the gray tab at first :)"
negative,but seriously if my cats dead I'm going to be pissed/very thankful because it is evil and wants my soul
negative,"not only on both legs did I have damaged seat, u damaged an expensive case and not offered anything.Just an apology 6wks Late Flightr!"
negative,I've tried to be understanding and let you handle the situation but I guess I was wrong about that
negative,over an hour on the phone the best you can tell me is it was sent maybe my bank misplaced it...
neutral,"My chariot tonight. From this angle it looks like a 787, no?"
neutral,New marketing song?  let us know what you think?
negative,thanks for being entirely unhelpful and wasting hours of my time today
negative,Well we won't be flying you. Rebooked on . With credits (that actually work) it was free!
negative,been calling all morning. Still can't get through. I need to chge a flight that is this week!!!!!
neutral,You guys are the talk of the Americans down here in Ecuador! Read this!
negative,should prob give me a refund since they made me miss my flight waiting to talk to someone for 3 hours
neutral,I've tried...its anyway
negative,"oh I did. All I received back was an email saying "" delays happen"".. Uh huh.."
negative,How do I place it on hold and complete payment? I don't see any way to do that from my reservations page.
negative,Bad weather happens. But not being able to get through to a reservations rep for over 6 hours is just crazy. frustrated
neutral,Flight Get Me Out Of Chicago.
neutral,"so, what should he do next exactly?!"
positive,Flight for tomorrow was Cancelled Flightled. New one booked. Seats taken care of. Just a tweet to commend you all on the service. Thanks!
negative,instead they yelled at him and told him to call a number that will not pick up due to call volume
negative,he is at the Boston airport. There is a problem. The agents will not honor the voucher because one number is rubbed out.
negative,you should really explain customer service to your gate agent for 1152 at C4. Couldn't be bothered.
negative,"my wife was on a flt from BRO to TUL via DFW that was Cancelled Flighted. Bought an SWA flight to get her home. Partial refund,DM me plz?"
negative,"I've been trying to get through to reservations since yesterday to make a change to a reservation hold, when will it be up?"
negative,thanks - I miss my dog and this delay is costing me a lot of money.
positive,"yes, it says it should be deliver within 6 hours after pick up line."
negative,I still can't get through to change my flight. This is really important plz help!
negative,"I ended up emailing my Complaint to customer.relationsaa.com, hope that works. TravelProblems"
negative,"for tomorrow some sites show flight 1642 from ewr Cancelled Flightled, is it?"
neutral,are pets allowed in first class?
neutral,Am I upgraded on my next flight?
negative,finally at final destination but not w/o extra significant travel expenses  missed work. How can you resolve this experience?
neutral,"when changing dest city on an award for a reservation party of 4, is fee $150 for each pax or 150 for first and 25 for rest?"
positive,Delaney and Shawn at DFW showed exceptional customer service today. Will happily choose AA whenever possible now! Thank you!
positive,thanks... I finally got through this afternoon.  :)
negative,"after waiting for a delayed plane, we sat on the plane for an hour waiting for a Late Flight passenger. That's BS too.."
negative,"I paid using Paypal online and after I was charged there was a ""System Error"" which is what I ended up calling about."
positive,AATeam thanks for working in very rigorous weather conditions for all
negative,"that's why I'm asking for exception. Staffer moving last minute,we're a nonprofit  losing $400,we just want to change ticket."
positive,"thanks, I'll look forward to the response."
negative,your advantage agents are horrible! I've been waiting for 5 hours for a call back only to be hung up on by a rude agent!
negative,yes there's issues on the site as well unfortunately.
neutral,about when can I see a new American Airlines credit card to replace my dividend MasterCard?
negative,my wife is stuck in Brownsville any chance she can get any flight out? She needs to be at work tomorrow morning.
negative,"Will it be this year, do you think?"
positive,"thank you, truly appreciate the help, just sent a DM"
neutral,boarding in 2mins YAY!!!!
negative,"your a LIAR, no precipitation all day, 47 degrees, don't pacify, you look like a fool.......thats the problem, admit you suck"
negative,"Hello, question, How many balloons do you think it will take to life up one of your planes?"
negative,need2know if Ill be able to reach IND today.Rather stay in MAF that fly to DFW  find out I can't travel
negative,"I'm trying my hardest to not get frustrated, but I am getting no response on email or by phone. AA owes me $500. How do I claim"
negative,2nd time in 4 days that my flight has been delayed and my gate agent hasn't said anything! Thanks for the memories. NeverAgain
neutral,I had booked online but unable to Cancelled Flight online. But finally got thru.
positive,Hey Becky Piela at the Orange County airport has been really kind and helpful with rescheduling our flight!
negative,on Feb. 15th your rep gave me the record locator and told me I'd be receiving an email with the itinerary and confirmation.
negative,This entire process took sooooo long that no decent seats are left.  customerservice
neutral,our flight attendant announced that we have transportation waiting for us for that flight so I think we'll make it.
positive,Thank you!!!! I will be there to pick her up on time.
negative,"the original receipt lists my flight cost as $89ish, and doesn't reflect the use of a voucher"
neutral,so whats the hold up on flight 4302?
positive,"Well, you guys are totally kicking a million pounds of ass. Bar none, the best SM team in the airline industry in my opinion."
neutral,"Considering it was past midnight, I hung up and called again to receive another service call."
neutral,can I redeem AAdavantage miles on LAN flights?
negative,unacceptable. It's clear losing just one customer doesn't matter to American but how many more bankruptcies will it take
negative,will do on another airline that's more accommodating of its customers. Unable to simply change passengers with notice is simply
neutral,is there a probability that flight 1330 from DFW to DTW will be delayed or Cancelled Flighted?
positive,thank you. They are processing my refund.
negative,"That's good, I'd expect that but I can't get through on the phone to make any changes. Can I change it online?"
positive,"Thanks for asking On second plane after maintenance issue, for flight from ORD to LIT. Sitting at gate in very very warm plane"
negative,"hey ho its not me losing any money (only you) just next make sure you stick to the ""flyers right's booklet"""
negative,Trying for 20 hrs to reach agent. Must make change that can't be done on web by 11:59 PST. Had to Cancelled Flight revs ystday.
negative,"Oh, and losing my luggage ridiculous  angrybird  where'smybag"
positive,great job and great service in and out of SDF this weekend during the winter storm.
negative,please get it together and find my husbands luggage! You're ruining his ski trip to Aspen! 3rd day no luggage.
negative,"but don't you worry... Delta took good care of me... Your loss, their gain."
negative,sure is. What's more frustrating is being stranded at the airport with our fate in your hands.
negative,thanks for telling me my flight got Cancelled Flightled when it wasn't. Now I have a missing luggage because of you. Thanks fam!
negative,Your people on the phone can't see those? And to have it be over $800 difference. That's a poor process then...
positive,i got a new reservation for tomorrow. Thanks!
neutral,"I have a couple questions for you, if you"
neutral,Is my friends flight 386 from JAX to DFW Cancelled Flighted?
negative,still not taking calls ?   Storm ended 2 days ago. Be like pats and doyourjob
negative,"you expect us to spend our hard earn $ to fly and make exceptions when you have extra call volume, however, you never make acpt"
neutral,"but my friend was told she was able to use her credit with the airline towards one of my flights, then was told she couldn't."
negative,"No. Had to Cancelled Flight my trip. Instead of a $25 future trip voucher, a $25 drink coupon would've been better! WakingInMemphis"
positive,Kudos to the crew of Flt 167 today. Specially to Carlton. Loved your new 767-300. Keep up the good work AA!
positive,Thank you. It's much appreciated. We have been on the plane for 90 min now at the gate.
negative,did you guys get rid of the functionality to put a reservation on hold for 24 hours? i don't see it
negative,"On hold since 5am. When no one can get to the airport, Cancelled Flight flight, don't make us pay huge fee to change flight."
positive,"Thanks. Having issues checking in for flight, please check our DM convo for more info."
negative,You don't care about keeping your customers safe or at least you didn't care about my sister
negative,maybe you should stop tweeting and start calling. Or make it available for people to wait on-hold instead of hanging up on us.
negative,"that's not the point. Say its $1300 at the counter when I clearly see $500 on your site? AA agent was  a loss 4 words, too"
negative,When will callers from the East Coast be able to speak to an actual human for reservation support? All agents busy call Late Flightr..
positive,My father loved working for you as well as PanAm
negative,now you're sending a gate agent to talk to us? Joke of an airline. Thanks for ruining my vacation. neverflyAAagain
positive,CXL flight. rebooked 2 PAX no problems. Thank you and everyone at AA for helping us all out!
negative,we have been sitting on the plane for over an hour. unacceptable. you have a complete disregard for customer service.
neutral,I wrote down the evoucher number. I got rid of the voucher when I purchased air fair
negative,Only fluctuated because aa took 2 hrs to call me back.Ended up paying (extra) in $US so above statement not true
neutral,no. Prebook flight for wife's 40th bday in NO. I recently have had surgery and can't travel. Won't let another go in my place
negative,"4hrs Late Flightr i get a call back, and immediately disconnected"
positive,"My pleasure, next AA flight - this Wednesday to Milan, Italy See you then! :)"
negative,HELP! Attempting to Cancelled Flight a flight but can't get thru 800 number. Call gets dropped when saying Agent. flight is 2/24.
neutral,okay. I just sent it.
negative,don't bother trying to get anywhere with their customer service team either as take 2+ months and counting to reply
negative,"seriously, you treat your passengers like shit."
